text,label
Key takeaways from Ukraine talks in Washington Ukraine's President Zelensky managed to avoid another disastrous Oval Office meeting with Donald Trump. ,0
"Man guilty over gangland shooting that left girl, 9, with bullet lodged in brain Javon Riley is found guilty over his role in the shooting of a girl at a restaurant in east London.",0
"Hamas source says group agrees to latest Gaza ceasefire proposal The proposal from regional mediators would see Israeli hostages released in two batches during a 60-day truce, according to a Palestinian official.",0
'No-one comes for us': The women trapped in Afghanistan's mental health system Accessing treatment in an Afghan mental health facility is difficult - but getting out can be harder.,0
'Ketamine Queen' to plead guilty in Matthew Perry overdose case The American-British dual-national is one of five people who were charged with supplying ketamine to the actor.,0
Will UK feel the effect of Hurricane Erin? Will the remnants of Hurricane Erin have an impact on the UK's weather?  Shireen Jordan explains.,0
"Spain and Portugal fires kill two more as Spanish troops battle blazes Spain has sent 500 more troops to wildfire-affected regions, bringing the total deployed to 1,900.",0
"Love Island will not be investigated by Ofcom despite 14,000 complaints Bullying and concerns for contestants' mental health were among the main issues in the complaints.",0
BBC at Rafah crossing as queues of aid trucks wait to enter Gaza The BBC's Chief International Correspondent Lyse Doucet is travelling with Palestinian Prime Minister Mohammad Mustafa and Egypt’s Foreign Minister Badr Abdelatty.,0
Lineker nominated for National Television Awards Lineker receives his first NTA nomination since 2017 in the wake of his exit from Match of the Day.,0
Entire church to be transported across Swedish city The landmark 113-year-old wooden building is at risk from subsidence and will be moved 5km on giant rolling platforms.,0
Watch: Zelensky's 'fabulous' suit and other moments from Trump meeting Ukraine's president and other European leaders met at the White House to talk peace.,0
"What each side wants from crunch talks in Washington As world leaders dash across the Atlantic for crunch talks, what will they and the others present regard as a win?",0
How much support has the US given to Ukraine? The scale of US support is once again under the spotlight.,0
The Papers: 'Suited not booted' and 'property tax shake-up' The White House Ukraine summit and Rachel Reeves's potential new taxes dominate Tuesday's papers.,0
How long tubes of mud could reveal how Antarctica is changing How long tubes of mud - drilled out of the Antarctic seafloor - could reveal how the frozen continent is changing.  ,0
How a nine-year-old girl got caught up in a gangland shooting The girl was hit by a stray bullet while eating with her family in a Dalston restaurant in May 2024.,0
BBC witnesses Israeli settlers' attack on Palestinian farm in West Bank A BBC team was interviewing a Palestinian farmer when masked men charged towards them.,0
"'The water had no mercy': Hundreds killed as floods ravage north Pakistan BBC visited villages which were wiped out overnight by rains, flash floods and landslides.",0
"Corbyn 'capitulated' on antisemitism definition, Zarah Sultana says The vice president of the Board of Deputies of British Jews said Zarah Sultana's words were ""a grave insult"".
",0
Soho House bought for £2bn as Ashton Kutcher joins board  The private members' club chain is returning to private ownership after four years on the New York Stock Exchange.,0
"First group of Gaza children to be brought to UK 'in coming weeks' A group of between 30 to 50 Palestinian children will be evacuated under the plan, the BBC understands.",0
UK's most remote inhabited island looking for nurse to be only medic Fair Isle - which is located halfway between Orkney and Shetland - is home to about 50 people.,0
"BBC News app Top stories, breaking news, live reporting, and follow news topics that match your interests",0
The Trump-Putin summit: Tactics and trolling? Trump and Putin head to Alaska for talks.,0
Inside Trump’s meeting with Putin… Americast is in Alaska! Can Trump stop the war in Ukraine?,0
"James May flies to the edge of space in a U2 spy plane James May takes a rare and privileged flight 70,000 feet above Earth in a U2 spy plane.",0
"Exuberance, energy and elation - how Leeds used the Elland Road X factor If Leeds have ambitions of staying up, the hothouse atmosphere of Elland Road could hold the key, writes Phil McNulty.",0
"£2.5bn and beyond? Transfer window set to break all records With two weeks of the summer transfer window remaining, Premier League clubs are on course to spend a record amount on players.",0
Invincibles win again - what makes holders so good? Two-time defending champions Oval Invincibles move clear at the top of the men's Hundred table by emphatically beating Southern Brave by seven wickets.,0
'A scandal' - was Leeds penalty correct and what does law say? Was James Tarkowski correctly penalised for handball against Leeds? BBC Sport looks at the laws - but the pundits are split.,0
"Who has made Troy's Premier League team of the week? After every round of Premier League matches this season, Troy Deeney gives us his team of the week. Do you agree with his choices?",0
